,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
146,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'I4', 'LUAR', 'PVC', 'RID', 'RIG', 'RMG')",12,1,"[(15, 1.1)]"
147,8.0,"('AIB', 'AIN', 'AIZ', 'AVB', 'AVE', 'DA', 'DB', 'LUAR', 'PVC', 'RIB', 'RIC', 'RID')",12,1,"[(10, 2.4)]"
148,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'LUAR', 'PVC', 'RID', 'RMG')",12,1,"[(8, 1.0)]"
149,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PLN', 'PVC', 'RIA', 'RID', 'RIG', 'RMG')",12,1,"[(8, 2.5)]"
150,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'LUAR', 'M2', 'NSML', 'PVC', 'RID', 'RIG', 'RMG', 'VC')",13,1,"[(46, 2.3)]"
151,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVJ', 'DB', 'LUAR', 'PVC', 'RIB', 'RIC', 'RID', 'SAB')",13,1,"[(46, 2.4)]"
152,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'DA', 'DB', 'PVC', 'RIV', 'RMG', 'RMH', 'SAB')",13,1,"[(31, 2.8)]"
153,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'IL2', 'LUAR', 'M1', 'PLN', 'PVC', 'RIA', 'RID', 'RMG')",13,1,"[(31, 2.9)]"
154,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'AVJ', 'DB', 'LUAR', 'PVC', 'RIB', 'RIC', 'SAB')",13,1,"[(31, 3.0)]"
155,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'AVJ', 'I4', 'M2', 'PLN', 'RIA', 'RID', 'RIG', 'RMG')",13,1,"[(23, 2.2)]"
156,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'IL2', 'M2', 'NSML', 'PLN', 'RIA', 'RID', 'RIG', 'RMG')",13,3,"[(23, 2.5), (23, 2.6), (23, 2.7)]"
157,8.0,"('AIB', 'AVA', 'AVD', 'AVE', 'AVG', 'LUAR', 'M2', 'PLN', 'PVC', 'RIA', 'RID', 'RIG', 'RMG')",13,1,"[(13, 1.9)]"
158,8.0,"('AIB', 'AVA', 'AVD', 'AVE', 'DB', 'LUAR', 'PVC', 'RMD', 'RMG', 'SAB', 'SMD', 'URY', 'VC')",13,3,"[(12, 1.7), (12, 1.8), (12, 1.9)]"
